route[0]-trip[0] = 0 -> 1 -> 21 -> 25 -> 26 -> 28 -> 30 -> 31 -> 29 -> 27 -> 24 -> 23 -> 22 -> 0
route[1]-trip[0] = 0 -> 1 -> 33 -> 34 -> 32 -> 36 -> 38 -> 39 -> 40 -> 37 -> 35 -> 0
route[2]-trip[0] = 0 -> 1 -> 14 -> 18 -> 19 -> 20 -> 16 -> 17 -> 15 -> 13 -> 0
route[3]-trip[0] = 0 -> 1 -> 99 -> 97 -> 96 -> 95 -> 93 -> 94 -> 98 -> 101 -> 100 -> 0
route[4]-trip[0] = 0 -> 1 -> 44 -> 43 -> 42 -> 41 -> 45 -> 47 -> 46 -> 49 -> 52 -> 51 -> 53 -> 50 -> 48 -> 0
route[5]-trip[0] = 0 -> 1 -> 6 -> 4 -> 8 -> 9 -> 11 -> 12 -> 10 -> 7 -> 5 -> 3 -> 2 -> 76 -> 0
route[6]-trip[0] = 0 -> 1 -> 68 -> 66 -> 64 -> 63 -> 75 -> 73 -> 62 -> 65 -> 69 -> 67 -> 70 -> 0
route[7]-trip[0] = 0 -> 1 -> 91 -> 88 -> 87 -> 84 -> 83 -> 85 -> 86 -> 89 -> 90 -> 92 -> 0
route[8]-trip[0] = 0 -> 1 -> 58 -> 56 -> 55 -> 54 -> 57 -> 59 -> 61 -> 60 -> 0
route[9]-trip[0] = 0 -> 1 -> 82 -> 79 -> 77 -> 72 -> 71 -> 74 -> 78 -> 80 -> 81 -> 0
Obj: 827.3, run time = 123.298
p1 = 96, p2 = 95, cost = 3.6
p1 = 95, p2 = 93, cost = 3.6
p1 = 93, p2 = 94, cost = 2.0
p1 = 94, p2 = 98, cost = 5.0
p1 = 98, p2 = 101, cost = 5.0
p1 = 101, p2 = 100, cost = 5.0
p1 = 100, p2 = 0, cost = 33.5
p1 = 1, p2 = 44, cost = 16.5
p1 = 44, p2 = 43, cost = 3.0
p1 = 43, p2 = 42, cost = 2.0
p1 = 42, p2 = 41, cost = 2.0
p1 = 41, p2 = 45, cost = 3.0
p1 = 45, p2 = 47, cost = 2.8
p1 = 47, p2 = 46, cost = 2.0
p1 = 46, p2 = 49, cost = 2.0
p1 = 49, p2 = 52, cost = 3.0
p1 = 52, p2 = 51, cost = 2.2
p1 = 51, p2 = 53, cost = 3.1
p1 = 53, p2 = 50, cost = 3.0
p1 = 50, p2 = 48, cost = 2.0
p1 = 48, p2 = 0, cost = 18.0
p1 = 1, p2 = 6, cost = 15.1
p1 = 6, p2 = 4, cost = 1.0
p1 = 4, p2 = 8, cost = 2.0
p1 = 8, p2 = 9, cost = 2.8
p1 = 9, p2 = 11, cost = 3.6
p1 = 11, p2 = 12, cost = 3.0
p1 = 12, p2 = 10, cost = 3.1
p1 = 10, p2 = 7, cost = 2.2
p1 = 7, p2 = 5, cost = 2.2
p1 = 5, p2 = 3, cost = 3.6
p1 = 3, p2 = 2, cost = 2.0
p1 = 2, p2 = 76, cost = 3.0
p1 = 76, p2 = 0, cost = 15.8
p1 = 1, p2 = 68, cost = 12.2
p1 = 68, p2 = 66, cost = 1.0
p1 = 66, p2 = 64, cost = 2.0
p1 = 64, p2 = 63, cost = 5.0
p1 = 63, p2 = 75, cost = 3.0
p1 = 75, p2 = 73, cost = 5.0
p1 = 73, p2 = 62, cost = 3.0
p1 = 62, p2 = 65, cost = 2.0
p1 = 65, p2 = 69, cost = 3.0
p1 = 69, p2 = 67, cost = 5.3
p1 = 67, p2 = 70, cost = 2.0
p1 = 70, p2 = 0, cost = 15.8
p1 = 1, p2 = 91, cost = 20.6
p1 = 91, p2 = 88, cost = 5.0
p1 = 88, p2 = 87, cost = 1.0
p1 = 87, p2 = 84, cost = 6.0
p1 = 84, p2 = 83, cost = 3.0
p1 = 83, p2 = 85, cost = 5.8
p1 = 85, p2 = 86, cost = 2.8
p1 = 86, p2 = 89, cost = 3.0
p1 = 89, p2 = 90, cost = 2.8
p1 = 90, p2 = 92, cost = 3.6
p1 = 92, p2 = 0, cost = 22.3
p1 = 1, p2 = 58, cost = 35.0
p1 = 58, p2 = 56, cost = 2.0
p1 = 56, p2 = 55, cost = 5.0
p1 = 55, p2 = 54, cost = 5.3
p1 = 54, p2 = 57, cost = 4.0
p1 = 57, p2 = 59, cost = 2.0
p1 = 59, p2 = 61, cost = 3.0
p1 = 61, p2 = 60, cost = 10.4
p1 = 60, p2 = 0, cost = 35.0
p1 = 1, p2 = 82, cost = 47.4
p1 = 82, p2 = 79, cost = 3.0
p1 = 79, p2 = 77, cost = 2.0
p1 = 77, p2 = 72, cost = 5.0
p1 = 72, p2 = 71, cost = 5.0
p1 = 71, p2 = 74, cost = 3.0
p1 = 74, p2 = 78, cost = 4.0
p1 = 78, p2 = 80, cost = 1.0
p1 = 80, p2 = 81, cost = 5.3
p1 = 81, p2 = 0, cost = 51.4

